unix,open,high,low,close,volume
1623888000,38361.38,38638.08,38227.03,38630,1848186.424
1623801600,40166.93,40506.59,38095.41,38353.99,153742466.1
1623715200,40544.19,41341.57,39526.47,40171.47,163851471.2
1623628800,39035.52,41050,38758.4,40532.79,254597827.4
1623542400,35563.66,39386.43,34783.9,39013.76,140524351.4
1623456000,37338.91,37445.55,34630,35542.76,132501715.8
1623369600,36724.97,37680.65,35958.49,37341.11,139701700.2
1623283200,37414.64,38446.24,35824.69,36707.54,211498746.8
1623196800,33413.19,37556.25,32423.72,37400,319380566.6
1623110400,33567.51,34085.61,31025,33411.69,302196990.8
1623024000,35810.69,36808.3,33321.09,33582.62,164992762.9
1622937600,35532.59,36510.58,35250,35808.85,90479425.19
1622851200,36851.58,37927.93,34849.65,35532.14,145907360.7
1622764800,39242.94,39277.36,35576.67,36887.32,213436897.8
1622678400,37585.12,39490,37176.06,39219.88,159191254.7
1622592000,36693.3,38256.3,35933.19,37589.36,160510454.4
1622505600,37279.89,37927.44,35699.98,36693.3,159570152.9
1622419200,35675.3,37540.96,34195.2,37341.41,163696986.9
1622332800,34644.09,36516.99,33425,35677.72,106309607.9
1622246400,35691.36,37348.01,33650,34632.08,154360985.6
1622160000,38578.5,38905.12,34710.23,35692.46,220116135.8
1622073600,39299.46,40429.47,37212.9,38503.47,158381644.7
1621987200,38385.87,40904,37859.74,39309.56,165320790.1
1621900800,38848.36,40000,36486.85,38397.72,221376189.8
1621814400,34735.35,39960,34426.21,38839.86,396678607.4
1621728000,37474.34,38311.74,31107.46,34706.79,325421000.4
1621641600,37318.43,38887.99,35260,37500.54,214503299.6
1621555200,40566.13,42297.89,33520,37335.16,489345991
1621468800,36793.39,43000,35000,40640.9,597544389
1621382400,42900.85,43601.63,30066,36780.43,1194218778
1621296000,43581.27,45872.05,42023.69,42877.75,269097066
1621209600,46446.42,46648.5,42100,43593.39,534573652.3
1621123200,46753.4,49800,43769.4,46444.75,267061179.7
1621036800,49883.89,50710.93,46448.53,46708.89,168802583.1
1620950400,49711.64,51572,48875.69,49880.43,200074490.1
1620864000,49419.44,51420.72,45700,49694.96,452044420.8
1620777600,56763.7,58021.26,48530,49386.56,314461715.4
1620691200,55854.43,56972.33,54500,56763.7,238587428.1
1620604800,58336.16,59603,53500,55880.72,368221933
1620518400,58964.89,59300.62,56256,58305.24,150988743.2
1620432000,57371.02,59564.24,56977.5,58984.75,172765946.6
1620345600,56425.82,58743.85,55288.11,57381.73,242994959.7
1620259200,57517.08,58420.83,55283,56447.39,290378536.1
1620172800,53221.75,57976.62,52924.5,57509.93,316566738.4
1620086400,57227.64,57250.85,53080.69,53236.84,305962448.4
1620000000,56599.91,59000,56500,57222.37,208090141.7
1619913600,57893.01,57967.01,56064.51,56622.66,106851731.1
1619827200,57790.66,58549,57049.63,57851.91,130083227.6
1619740800,53585.93,58008,53087.15,57775.27,277851791.3
1619654400,54898.45,55239.33,52379.9,53593.97,223630310.3
1619568000,55094.73,56500,53811.49,54901.97,249392743.4
1619481600,54015.32,55519.37,53325.75,55091.39,226487602.6
1619395200,49122.75,54404.78,48823.01,54073.41,326970924.1
1619308800,50126.34,50608.94,47004.2,49128.43,204739573.5
1619222400,51177.77,51227.38,48713.34,50118.94,172666593.7
1619136000,51693.98,52131.34,47555,51176.65,596173130.7
1619049600,53823.48,55491.8,50450.01,51683.95,405148227.9
1618963200,56493.02,56850,53628.79,53806.24,246338799.6
1618876800,55694.55,57119,53400,56503.19,331328086.2
1618790400,56260.83,57633,54252.88,55694.55,322540453.5
1618704000,60048.82,60433.81,51541.16,56280.6,724323407.5
1618617600,61436.23,62596.48,59676.67,60032.29,185588843.5
1618531200,63247.24,63580.4,60042.04,61436.24,355028768.9
1618444800,62954.2,63855.37,61998.9,63239.19,217128555.5
1618358400,63605.69,64895.22,61327,62986.09,378098793
1618272000,59814.87,63769,59780,63564.48,363050229.1
1618185600,59972.26,61234.56,59361.11,59831.66,221822077.4
1618099200,59773.19,60679,59165.15,59979.26,109325423.8
1618012800,58129.02,61222.22,57870,59766.93,234163892.2
1617926400,58066.18,58890.25,57657.43,58109.56,154609090.2
1617840000,55912.38,58145.49,55680.4,58096.6,266477883.3
1617753600,58024.9,58668,55441.93,55932.83,305089906.6
1617667200,59135.36,59473.9,57216,58018.3,157310693.7
1617580800,58213.69,59280,56800,59125,142044095.6
1617494400,57064.13,58501,56466.25,58212.18,83862318.81
1617408000,58967.61,59801.39,56922,57064.42,94913443.87
1617321600,58744,60103.04,58450,59003.6,151320633.8
1617235200,58789.96,59490,57935.42,58728.53,163651800.6
1617148800,58767.75,59816.17,56713.45,58782.58,270120798.9
1617062400,57623.66,59388.66,57011,58760.59,199335818.7
1616976000,55790.28,58402.68,54892.42,57600.1,308761054.2
1616889600,55817.85,56573.04,54677.51,55790.92,115679638
1616803200,55081.26,56686.15,53948.35,55839.42,145739075.9
1616716800,51292.65,55114.86,51263.38,55081.37,268480429.1
1616630400,52281.77,53271.59,50360,51326.11,342992756
1616544000,54360.07,57207.33,51638.76,52287.52,359087907.6
1616457600,54117.71,55866.44,52933.03,54361.57,271615608.6
1616371200,57410.54,58461.78,53715,54070.92,355081945.3
1616284800,58072.87,58632.52,55500,57381.79,208226913.8
1616198400,58029.94,59957,57815.61,58138.39,138540623.4
1616112000,57648.01,59450.95,56279.34,58072,204615666
1616025600,58939.73,60083.25,57000,57648.05,318013386.4
1615939200,56928.38,58968.8,54124,58901.8,343991049
1615852800,55616.42,56950,53221,56908.34,440085094
1615766400,58956.9,60595.13,54555,55644.37,429864668.9
1615680000,61177.03,61700,58959.57,59016.39,193226870
1615593600,57297.67,61781.83,56080.96,61165.19,378480042.4
1615507200,57847.92,58098.5,55011,57271.04,299659868
1615420800,55918.09,58155.99,54269,57772.09,383634856.8
1615334400,54927.29,57402.89,53010,55852.29,386289974.7
1615248000,52427.8,54939.26,51857,54929.02,298203730.6
