https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1629417600000.0,2021-08-20 00:00:00,ETH/USD,3185.5,3225.1,3179.1,3219.3,4914.98778237505,15822820.1678
1629414000000.0,2021-08-19 23:00:00,ETH/USD,3170.7,3190.4,3156.8,3185.5,5799.5189776487205,18474367.7033
1629410400000.0,2021-08-19 22:00:00,ETH/USD,3164.3,3200.0,3144.2,3170.7,6049.556677263697,19181329.3566
1629406800000.0,2021-08-19 21:00:00,ETH/USD,3158.5,3172.7,3146.3,3164.3,3733.591509749391,11814203.6143
1629403200000.0,2021-08-19 20:00:00,ETH/USD,3148.7,3165.5,3143.1,3158.5,5921.991520785184,18704610.2184
1629399600000.0,2021-08-19 19:00:00,ETH/USD,3133.1,3165.3,3131.4,3148.1,9197.011856580159,28953113.0257
1629396000000.0,2021-08-19 18:00:00,ETH/USD,3049.8,3139.1,3048.0,3133.1,9405.375065175067,29467980.6167
1629392400000.0,2021-08-19 17:00:00,ETH/USD,3047.6,3058.6,3025.3,3049.8,2691.548195881697,8208683.6878
1629388800000.0,2021-08-19 16:00:00,ETH/USD,3068.6,3079.9,3047.1,3047.6,3410.6399826420793,10394266.4111
1629385200000.0,2021-08-19 15:00:00,ETH/USD,3042.2,3079.1,3042.2,3068.6,4766.557989213322,14626659.8457
1629381600000.0,2021-08-19 14:00:00,ETH/USD,3021.5,3057.7,3021.0,3042.2,7983.411825455263,24287135.4554
1629378000000.0,2021-08-19 13:00:00,ETH/USD,2998.2,3022.6,2982.6,3021.5,3946.6916385239124,11924928.7858
1629374400000.0,2021-08-19 12:00:00,ETH/USD,2973.4,3004.1,2963.5,2998.2,6524.592869421654,19562034.3411
1629370800000.0,2021-08-19 11:00:00,ETH/USD,2982.4,3001.8,2973.6,2973.6,3031.499817090396,9014467.8561
1629367200000.0,2021-08-19 10:00:00,ETH/USD,3003.3,3013.1,2982.4,2982.4,6439.65414887339,19205624.5336
1629363600000.0,2021-08-19 09:00:00,ETH/USD,3002.9,3015.5,2999.1,3003.4,4658.731674036092,13992034.7098
1629360000000.0,2021-08-19 08:00:00,ETH/USD,2995.4,3021.8,2979.1,3002.9,5884.121291285091,17669427.8256
1629356400000.0,2021-08-19 07:00:00,ETH/USD,2996.8,3010.0,2972.1,2995.3,3360.6198552064902,10066064.6523
1629352800000.0,2021-08-19 06:00:00,ETH/USD,3006.4,3009.8,2987.1,2996.8,2750.272011946076,8242015.1654
1629349200000.0,2021-08-19 05:00:00,ETH/USD,2982.7,3017.3,2971.3,3006.4,2978.3846732637044,8954215.6817
1629345600000.0,2021-08-19 04:00:00,ETH/USD,2967.1,2992.2,2959.4,2982.7,3904.1757531095986,11644985.0188
1629342000000.0,2021-08-19 03:00:00,ETH/USD,3007.6,3008.4,2966.5,2967.1,6670.188970880658,19791117.6955
1629338400000.0,2021-08-19 02:00:00,ETH/USD,3028.0,3028.0,3005.5,3007.6,3452.530753058918,10383831.4929
1629334800000.0,2021-08-19 01:00:00,ETH/USD,3044.2,3052.4,3026.2,3028.0,3859.5461507926025,11686705.7446
1629331200000.0,2021-08-19 00:00:00,ETH/USD,3014.8,3048.1,2999.2,3044.2,5876.923773339466,17890531.3508
1629327600000.0,2021-08-18 23:00:00,ETH/USD,3039.4,3060.9,3009.1,3014.9,3822.7115579952897,11525093.0762
1629324000000.0,2021-08-18 22:00:00,ETH/USD,3004.4,3043.1,3000.3,3039.4,3842.8649088964926,11680003.6041
1629320400000.0,2021-08-18 21:00:00,ETH/USD,3008.2,3026.3,2997.0,3004.4,4060.0111038476903,12197897.3604
1629316800000.0,2021-08-18 20:00:00,ETH/USD,3031.5,3041.4,3005.0,3008.2,11734.853089754672,35300785.0646
1629313200000.0,2021-08-18 19:00:00,ETH/USD,3057.3,3069.0,3022.6,3031.6,4502.224370530413,13648943.4017
1629309600000.0,2021-08-18 18:00:00,ETH/USD,3108.1,3119.7,3053.1,3057.4,5071.015146627854,15504121.7093
1629306000000.0,2021-08-18 17:00:00,ETH/USD,3122.9,3124.3,3097.9,3108.1,3582.1696022972237,11133741.3409
1629302400000.0,2021-08-18 16:00:00,ETH/USD,3112.1,3127.4,3086.2,3122.9,6180.873709788978,19302250.5083
1629298800000.0,2021-08-18 15:00:00,ETH/USD,3075.3,3116.4,3053.5,3112.1,5437.718956460269,16922725.1644
1629295200000.0,2021-08-18 14:00:00,ETH/USD,3055.4,3081.1,3052.1,3075.3,4421.358872305141,13597004.94
1629291600000.0,2021-08-18 13:00:00,ETH/USD,3029.0,3067.1,3029.0,3055.4,3692.8222229822604,11283049.0201
1629288000000.0,2021-08-18 12:00:00,ETH/USD,3000.9,3040.6,2995.2,3029.0,5228.263288610102,15836409.5012
1629284400000.0,2021-08-18 11:00:00,ETH/USD,3034.6,3058.1,2990.5,3000.9,5229.465380719117,15693102.661
1629280800000.0,2021-08-18 10:00:00,ETH/USD,3053.0,3069.3,3025.5,3034.6,2992.348119224939,9080579.6026
1629277200000.0,2021-08-18 09:00:00,ETH/USD,3043.5,3061.0,3035.8,3053.2,2219.712918937508,6777227.4841
1629273600000.0,2021-08-18 08:00:00,ETH/USD,3030.6,3049.8,3016.4,3043.5,2883.5706255298173,8776147.1988
1629270000000.0,2021-08-18 07:00:00,ETH/USD,3069.8,3076.1,3023.6,3030.7,4519.55658923681,13697420.155
1629266400000.0,2021-08-18 06:00:00,ETH/USD,3084.4,3085.1,3058.9,3069.8,4205.245824027624,12909263.6306
1629262800000.0,2021-08-18 05:00:00,ETH/USD,3044.3,3087.8,3038.3,3084.4,12751.885708176631,39331916.2783
