https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1630108800000.0,2021-08-28 00:00:00,XRP/USD,1.1926,1.198875,1.1767,1.17735,768321.873232259,904583.75745
1630022400000.0,2021-08-27 00:00:00,XRP/USD,1.0715,1.193325,1.0505,1.19145,44407088.02368963,52908825.025825
1629936000000.0,2021-08-26 00:00:00,XRP/USD,1.17385,1.186575,1.064075,1.0715,51584566.06220253,55272862.53565
1629849600000.0,2021-08-25 00:00:00,XRP/USD,1.135325,1.178,1.1081,1.17385,36338187.88705967,42655581.851225
1629763200000.0,2021-08-24 00:00:00,XRP/USD,1.24635,1.2664,1.123825,1.135325,71879785.07517672,81606916.990475
1629676800000.0,2021-08-23 00:00:00,XRP/USD,1.226625,1.304925,1.204975,1.24635,52678447.16247442,65655782.62095
1629590400000.0,2021-08-22 00:00:00,XRP/USD,1.2168,1.257275,1.1791,1.226625,25901974.97539998,31772010.0542
1629504000000.0,2021-08-21 00:00:00,XRP/USD,1.26365,1.2837,1.20465,1.2168,29082195.01158777,35387214.8901
1629417600000.0,2021-08-20 00:00:00,XRP/USD,1.2353,1.290075,1.194925,1.2636,38557199.96452595,48720877.875175
1629331200000.0,2021-08-19 00:00:00,XRP/USD,1.143825,1.2359,1.090325,1.2353,45168699.93125152,55796895.025075
1629244800000.0,2021-08-18 00:00:00,XRP/USD,1.097725,1.19615,1.051475,1.14325,52047357.044019245,59503140.940575
1629158400000.0,2021-08-17 00:00:00,XRP/USD,1.1856,1.2237,1.085275,1.097725,58405855.2381744,64113567.441325
1629072000000.0,2021-08-16 00:00:00,XRP/USD,1.284925,1.32955,1.14215,1.1856,60834664.45995698,72125578.183725
1628985600000.0,2021-08-15 00:00:00,XRP/USD,1.281225,1.35,1.227875,1.284925,66503399.80448274,85451880.993775
1628899200000.0,2021-08-14 00:00:00,XRP/USD,1.091,1.311075,1.07085,1.281225,62782530.18499873,80438547.236275
1628812800000.0,2021-08-13 00:00:00,XRP/USD,0.966925,1.098275,0.95085,1.091,36440748.450458296,39756856.55945
1628726400000.0,2021-08-12 00:00:00,XRP/USD,1.011175,1.0455,0.9229,0.966925,54383166.92380484,52584443.6778
1628640000000.0,2021-08-11 00:00:00,XRP/USD,0.851325,1.09,0.8488,1.011175,50337112.531881236,50899629.764425
1628553600000.0,2021-08-10 00:00:00,XRP/USD,0.817425,0.862575,0.80025,0.851325,20913338.983936805,17804048.3105
1628467200000.0,2021-08-09 00:00:00,XRP/USD,0.7794,0.8284,0.757975,0.817425,22633744.687800106,18501388.751425
1628380800000.0,2021-08-08 00:00:00,XRP/USD,0.817775,0.8423,0.772625,0.7794,23516535.018251218,18328787.393225
1628294400000.0,2021-08-07 00:00:00,XRP/USD,0.74775,0.819725,0.7417,0.817775,22885554.03885543,18715233.954125
1628208000000.0,2021-08-06 00:00:00,XRP/USD,0.73335,0.753425,0.722525,0.74775,10873199.228686057,8130434.72325
1628121600000.0,2021-08-05 00:00:00,XRP/USD,0.731025,0.7395,0.70105,0.73335,14532684.244358083,10657543.9906
1628035200000.0,2021-08-04 00:00:00,XRP/USD,0.713425,0.7398,0.69525,0.731025,15686975.34858589,11467571.1542
1627948800000.0,2021-08-03 00:00:00,XRP/USD,0.737925,0.745,0.700875,0.713425,22343838.976416584,15940653.32175
1627862400000.0,2021-08-02 00:00:00,XRP/USD,0.7245,0.773875,0.7155,0.737925,39088407.08388386,28844312.797375
1627776000000.0,2021-08-01 00:00:00,XRP/USD,0.74625,0.778,0.705,0.7239,19541686.651056778,14146226.9667
1627689600000.0,2021-07-31 00:00:00,XRP/USD,0.752925,0.7593,0.737075,0.74625,17495704.796850923,13056169.70465
1627603200000.0,2021-07-30 00:00:00,XRP/USD,0.749325,0.77025,0.712325,0.752925,31400643.220805526,23642329.297025
1627516800000.0,2021-07-29 00:00:00,XRP/USD,0.733,0.76695,0.6965,0.749325,23621903.477229506,17700482.823075
1627430400000.0,2021-07-28 00:00:00,XRP/USD,0.645225,0.7542,0.631275,0.733,35688340.85835607,26159553.849175
1627344000000.0,2021-07-27 00:00:00,XRP/USD,0.6234,0.653125,0.6127,0.645225,19790089.669533882,12769060.607025
1627257600000.0,2021-07-26 00:00:00,XRP/USD,0.60735,0.6792,0.605575,0.6234,32541944.33265159,20286648.096975
1627171200000.0,2021-07-25 00:00:00,XRP/USD,0.60905,0.612075,0.5912,0.60735,11933788.44554211,7247986.4124
1627084800000.0,2021-07-24 00:00:00,XRP/USD,0.609725,0.62065,0.6002,0.60905,17578775.90829981,10706353.46695
1626998400000.0,2021-07-23 00:00:00,XRP/USD,0.592175,0.6104,0.575475,0.609725,18575811.240026243,11326136.508325
1626912000000.0,2021-07-22 00:00:00,XRP/USD,0.572025,0.60355,0.5612,0.592175,20017030.67150758,11853585.1379
1626825600000.0,2021-07-21 00:00:00,XRP/USD,0.528775,0.583875,0.5196,0.5719,43559532.364005946,24911696.558975
1626739200000.0,2021-07-20 00:00:00,XRP/USD,0.557225,0.570125,0.515625,0.528775,21613799.380407546,11428836.767375
1626652800000.0,2021-07-19 00:00:00,XRP/USD,0.586875,0.589075,0.5536,0.557225,28787646.035892144,16041196.06235
1626566400000.0,2021-07-18 00:00:00,XRP/USD,0.5821,0.6018,0.5718,0.586875,11279924.908029819,6619905.9304
1626480000000.0,2021-07-17 00:00:00,XRP/USD,0.589525,0.598,0.558525,0.582075,16297577.279517243,9486412.294975
1626393600000.0,2021-07-16 00:00:00,XRP/USD,0.597475,0.619825,0.587625,0.589525,17765197.81260337,10473028.240475
1626307200000.0,2021-07-15 00:00:00,XRP/USD,0.62005,0.6266,0.587075,0.597475,10401285.39779907,6214507.99305
1626220800000.0,2021-07-14 00:00:00,XRP/USD,0.619425,0.624975,0.5861,0.62005,18214334.138214663,11293797.8824
1626134400000.0,2021-07-13 00:00:00,XRP/USD,0.6292,0.64285,0.608775,0.619425,13967200.653509302,8651633.2648
1626048000000.0,2021-07-12 00:00:00,XRP/USD,0.636375,0.657125,0.6173,0.6292,15922468.345001591,10018417.082675
1625961600000.0,2021-07-11 00:00:00,XRP/USD,0.62495,0.644875,0.617075,0.636375,12802095.670202317,8146933.632125
1625875200000.0,2021-07-10 00:00:00,XRP/USD,0.6367,0.649,0.612575,0.62495,14380671.201576127,8987200.467425
1625788800000.0,2021-07-09 00:00:00,XRP/USD,0.62185,0.645975,0.592,0.6367,17264956.192123447,10992597.607525
1625702400000.0,2021-07-08 00:00:00,XRP/USD,0.652025,0.6544,0.61075,0.62185,16469121.40258905,10241323.1442
1625616000000.0,2021-07-07 00:00:00,XRP/USD,0.6649,0.6744,0.6501,0.652025,11771740.367738968,7675469.013275
1625529600000.0,2021-07-06 00:00:00,XRP/USD,0.65245,0.68,0.6517,0.6649,12576002.484132951,8361784.0517
1625443200000.0,2021-07-05 00:00:00,XRP/USD,0.696375,0.6964,0.644825,0.65245,16834531.75174343,10983690.241425
1625356800000.0,2021-07-04 00:00:00,XRP/USD,0.673625,0.709325,0.665775,0.696375,11813198.91283432,8226416.392925
1625270400000.0,2021-07-03 00:00:00,XRP/USD,0.6559,0.684775,0.64325,0.673625,15600954.316904807,10509192.851725
1625184000000.0,2021-07-02 00:00:00,XRP/USD,0.659275,0.66755,0.6332,0.6559,13739187.610687604,9011533.15385
1625097600000.0,2021-07-01 00:00:00,XRP/USD,0.706475,0.7065,0.6443,0.659275,16571022.576807855,10924860.909325
1625011200000.0,2021-06-30 00:00:00,XRP/USD,0.706325,0.714425,0.645825,0.706575,30530906.530835368,21572375.282025
1624924800000.0,2021-06-29 00:00:00,XRP/USD,0.6441,0.7332,0.6414,0.706325,24684449.33207093,17435243.674475
1624838400000.0,2021-06-28 00:00:00,XRP/USD,0.6483,0.6572,0.6244,0.6441,18909696.062800806,12179735.23405
1624752000000.0,2021-06-27 00:00:00,XRP/USD,0.616125,0.6525,0.596925,0.6483,16369919.448287832,10612618.778325
1624665600000.0,2021-06-26 00:00:00,XRP/USD,0.610825,0.6326,0.5816,0.616125,15324858.120714141,9442028.209625
1624579200000.0,2021-06-25 00:00:00,XRP/USD,0.673,0.689125,0.601675,0.610825,44112893.22866615,26945258.0064
1624492800000.0,2021-06-24 00:00:00,XRP/USD,0.63875,0.6925,0.616525,0.673,16987160.98926449,11432359.345775
1624406400000.0,2021-06-23 00:00:00,XRP/USD,0.5474,0.666175,0.5206,0.63875,34272433.91001957,21891517.160025
1624320000000.0,2021-06-22 00:00:00,XRP/USD,0.6064,0.6495,0.5089,0.5474,69303330.12974973,37936642.913025
1624233600000.0,2021-06-21 00:00:00,XRP/USD,0.7741,0.780375,0.60395,0.6064,32707186.871289574,19833638.11875
