,date,open,high,low,close,volume,market cap,unix
0,Aug-07-2015,2.77212,2.79881,0.714725,0.714876,314143.6146,103956871,1438876800
1,Aug-08-2015,0.753325,0.87981,0.629191,0.729347,699826.3715,41562596.05,1438963200
2,Aug-09-2015,0.701897,0.729854,0.636546,0.707703,457747.9097,41827580.89,1439049600
3,Aug-10-2015,0.708448,1.13141,0.663235,1.05767,640632.2265,47682042.52,1439136000
4,Aug-11-2015,1.06786,1.28994,0.883608,1.23767,1971841.042,66826097.67,1439222400
5,Aug-12-2015,1.21744,1.96507,1.17199,1.82819,2527863.368,86788818.97,1439308800
6,Aug-13-2015,1.82767,2.26188,1.75475,1.83231,4904504.007,119640289.9,1439395200
7,Aug-14-2015,1.82787,1.87724,1.57098,1.69244,3879626.979,102829936.9,1439481600
8,Aug-15-2015,1.6889,1.69524,1.08981,1.51268,2881362.917,83158087.08,1439568000
9,Aug-16-2015,1.56603,1.58119,1.18534,1.20073,2522015.278,84934652.81,1439654400
10,Aug-17-2015,1.20361,1.33116,1.09508,1.09508,1763725.192,88139259.82,1439740800
11,Aug-18-2015,1.08705,1.31799,1.08705,1.25117,1780392.246,97285895.23,1439827200
12,Aug-19-2015,1.25886,1.5333,1.24833,1.46545,1814741.91,97607238.31,1439913600
13,Aug-20-2015,1.46492,1.55642,1.3528,1.41899,2559589.93,109308444.9,1440000000
14,Aug-21-2015,1.39529,1.47641,1.35268,1.39285,1637652.822,103086155.4,1440086400
15,Aug-22-2015,1.37923,1.4097,1.29777,1.35618,1545373.493,97822824.56,1440172800
16,Aug-23-2015,1.35259,1.36278,1.23411,1.23411,1032296.22,94084641.79,1440259200
17,Aug-24-2015,1.23127,1.24182,1.12865,1.14198,1024865.396,86675453.35,1440345600
18,Aug-25-2015,1.14019,1.20248,1.06183,1.16774,1326381.111,82633072.31,1440432000
19,Aug-26-2015,1.15998,1.18883,1.13729,1.14679,771850.3125,85068486.72,1440518400
20,Aug-27-2015,1.1477,1.20779,1.1205,1.18894,776329.0871,85100800.78,1440604800
21,Aug-28-2015,1.19138,1.20721,1.14949,1.18326,513305.1538,86111875.87,1440691200
22,Aug-29-2015,1.18255,1.36799,1.17061,1.32211,823051.9201,92560147.08,1440777600
23,Aug-30-2015,1.31927,1.39615,1.20101,1.3501,1576243.066,96561657.08,1440864000
24,Aug-31-2015,1.35824,1.39274,1.33663,1.35144,905847.8576,98766560.15,1440950400
25,Sep-01-2015,1.35161,1.35491,1.26462,1.29173,803286.1389,96621951.56,1441036800
26,Sep-02-2015,1.29479,1.30999,1.21103,1.26749,852918.9688,93097387.02,1441123200
