,ema,channel,success_rate,average_return
0,10.0,10.0,0.7870370370370371,0.10904462140921602
1,10.0,11.0,0.8333333333333334,0.1161036074750726
2,10.0,12.0,0.8559322033898306,0.12405935740166799
3,10.0,13.0,0.864406779661017,0.12931581200932665
4,10.0,14.0,0.8813559322033898,0.13362954917572553
5,10.0,15.0,0.8898305084745762,0.13780677786532872
6,10.0,16.0,0.875,0.135814921756189
7,10.0,17.0,0.85,0.1315904011904645
8,10.0,18.0,0.85,0.1336134845875622
9,10.0,19.0,0.8583333333333333,0.13479448964214988
10,10.0,20.0,0.8442622950819673,0.131380858967335
11,10.0,21.0,0.8524590163934426,0.1316788291890197
12,10.0,22.0,0.8524590163934426,0.1311403229752164
13,10.0,23.0,0.860655737704918,0.1313194346559095
14,10.0,24.0,0.860655737704918,0.13042706866237996
15,10.0,25.0,0.860655737704918,0.12930428758104945
16,10.0,26.0,0.8442622950819673,0.12816890454043853
17,10.0,27.0,0.8467741935483871,0.1251429215614841
18,10.0,28.0,0.8709677419354839,0.12567652141516586
19,10.0,29.0,0.8709677419354839,0.12596514591496813
20,11.0,10.0,0.7547169811320755,0.10804430554605493
21,11.0,11.0,0.8272727272727273,0.11699859044262892
22,11.0,12.0,0.8448275862068966,0.12377030614986703
23,11.0,13.0,0.8559322033898306,0.12720049108968962
24,11.0,14.0,0.8728813559322034,0.13160125793756441
25,11.0,15.0,0.8813559322033898,0.13589917237397636
26,11.0,16.0,0.8524590163934426,0.13017347667861595
27,11.0,17.0,0.8416666666666667,0.12815975207198074
28,11.0,18.0,0.8416666666666667,0.13025192218583945
29,11.0,19.0,0.85,0.1314437475306732
30,11.0,20.0,0.8416666666666667,0.129188730660364
31,11.0,21.0,0.85,0.1292484836918396
32,11.0,22.0,0.85,0.12861018218546502
33,11.0,23.0,0.8583333333333333,0.12894205107490705
34,11.0,24.0,0.8583333333333333,0.12846907942768207
35,11.0,25.0,0.8666666666666667,0.1276446980754212
36,11.0,26.0,0.8666666666666667,0.1277280152985441
37,11.0,27.0,0.8688524590163934,0.12462861970993855
38,11.0,28.0,0.8688524590163934,0.12427408660280502
39,11.0,29.0,0.8688524590163934,0.1245763090649559
40,12.0,10.0,0.7169811320754716,0.10219443809265885
41,12.0,11.0,0.7909090909090909,0.11064887360809578
42,12.0,12.0,0.8125,0.12007805743403939
43,12.0,13.0,0.8303571428571429,0.1266846091900147
44,12.0,14.0,0.8392857142857143,0.1308583563919585
45,12.0,15.0,0.8482142857142857,0.13533306332764136
46,12.0,16.0,0.8245614035087719,0.1320051970936242
47,12.0,17.0,0.8157894736842105,0.12784094411313035
48,12.0,18.0,0.8157894736842105,0.12937144828487424
49,12.0,19.0,0.8245614035087719,0.13055884341344867
50,12.0,20.0,0.8157894736842105,0.128089000391998
51,12.0,21.0,0.8245614035087719,0.1285114364290486
52,12.0,22.0,0.8245614035087719,0.12823177451460566
53,12.0,23.0,0.8333333333333334,0.12922534815103556
54,12.0,24.0,0.8333333333333334,0.1290215196088897
55,12.0,25.0,0.8421052631578947,0.12815124673955622
56,12.0,26.0,0.8421052631578947,0.1274751022422713
57,12.0,27.0,0.8448275862068966,0.12422497494009457
58,12.0,28.0,0.8448275862068966,0.12383151654601746
59,12.0,29.0,0.8448275862068966,0.12419400981327992
60,13.0,10.0,0.75,0.12663164223935053
61,13.0,11.0,0.8229166666666666,0.1326846622542149
62,13.0,12.0,0.83,0.1379929489812243
63,13.0,13.0,0.85,0.14571098181070716
64,13.0,14.0,0.86,0.15072731111961613
65,13.0,15.0,0.87,0.15332792458313857
66,13.0,16.0,0.8627450980392157,0.14964758130795125
67,13.0,17.0,0.8529411764705882,0.14706774255802865
68,13.0,18.0,0.8529411764705882,0.14666833684621428
69,13.0,19.0,0.8627450980392157,0.14799394311562292
70,13.0,20.0,0.8529411764705882,0.14557832015018488
71,13.0,21.0,0.8529411764705882,0.1426874525985037
72,13.0,22.0,0.8529411764705882,0.1422961509106626
73,13.0,23.0,0.8627450980392157,0.1432112476212336
74,13.0,24.0,0.8627450980392157,0.14297004948658415
75,13.0,25.0,0.8725490196078431,0.14183021588621056
76,13.0,26.0,0.8627450980392157,0.14138423300377495
77,13.0,27.0,0.8653846153846154,0.136762571438702
78,13.0,28.0,0.8653846153846154,0.13600939512933166
79,13.0,29.0,0.8653846153846154,0.13654696959005214
80,14.0,10.0,0.723404255319149,0.12023298519646917
81,14.0,11.0,0.7959183673469388,0.12618738836118928
82,14.0,12.0,0.803921568627451,0.1317525929469996
83,14.0,13.0,0.8333333333333334,0.13900350952615054
84,14.0,14.0,0.8431372549019608,0.1428749686051917
85,14.0,15.0,0.8627450980392157,0.14539117897785372
86,14.0,16.0,0.8557692307692307,0.1419539292585081
87,14.0,17.0,0.8461538461538461,0.13946004262683181
88,14.0,18.0,0.8365384615384616,0.13909827451674875
89,14.0,19.0,0.8461538461538461,0.14170465211932365
90,14.0,20.0,0.8365384615384616,0.139317632322638
91,14.0,21.0,0.8365384615384616,0.13665754534996088
92,14.0,22.0,0.8269230769230769,0.1362135872988896
93,14.0,23.0,0.8365384615384616,0.13670810583483306
94,14.0,24.0,0.8365384615384616,0.1364314535950111
95,14.0,25.0,0.8461538461538461,0.13569085413017212
96,14.0,26.0,0.8365384615384616,0.13531577815090967
97,14.0,27.0,0.839622641509434,0.13054485245440337
98,14.0,28.0,0.839622641509434,0.1298091653443675
99,14.0,29.0,0.839622641509434,0.1304917192499897
100,15.0,10.0,0.7127659574468085,0.11923500048718871
101,15.0,11.0,0.7755102040816326,0.12335201999915259
102,15.0,12.0,0.79,0.1316119727197022
103,15.0,13.0,0.82,0.13935777730080776
104,15.0,14.0,0.83,0.1433166640607203
105,15.0,15.0,0.85,0.14580429335928438
106,15.0,16.0,0.8333333333333334,0.14186542801816426
107,15.0,17.0,0.8235294117647058,0.13892748087947207
108,15.0,18.0,0.8137254901960784,0.13751120360517108
109,15.0,19.0,0.8333333333333334,0.14027080077421153
110,15.0,20.0,0.8235294117647058,0.1378354281554463
111,15.0,21.0,0.8235294117647058,0.13555639458579338
112,15.0,22.0,0.803921568627451,0.13491157781260715
113,15.0,23.0,0.8137254901960784,0.13548119621857344
114,15.0,24.0,0.8137254901960784,0.13536771226146102
115,15.0,25.0,0.8235294117647058,0.1345776884159117
116,15.0,26.0,0.8137254901960784,0.13495980554536233
117,15.0,27.0,0.8137254901960784,0.13339416074407498
118,15.0,28.0,0.8235294117647058,0.13323756739583134
119,15.0,29.0,0.8235294117647058,0.13450988724276014
120,16.0,10.0,0.7159090909090909,0.12813932595479274
121,16.0,11.0,0.7555555555555555,0.13532007873867832
122,16.0,12.0,0.7717391304347826,0.1444473984588579
123,16.0,13.0,0.7934782608695652,0.1528901188047427
124,16.0,14.0,0.8043478260869565,0.1566554165972766
125,16.0,15.0,0.8260869565217391,0.15990602236816615
126,16.0,16.0,0.8085106382978723,0.1551209890197034
127,16.0,17.0,0.7978723404255319,0.1518914473003702
128,16.0,18.0,0.7872340425531915,0.15128626455268093
129,16.0,19.0,0.8191489361702128,0.15521114453549775
130,16.0,20.0,0.8191489361702128,0.15284837405956503
131,16.0,21.0,0.8191489361702128,0.15017216825533533
132,16.0,22.0,0.7978723404255319,0.1494841999712238
133,16.0,23.0,0.7978723404255319,0.14930895687491777
134,16.0,24.0,0.7978723404255319,0.14998667695437684
135,16.0,25.0,0.7872340425531915,0.1484819996880434
136,16.0,26.0,0.7978723404255319,0.14898671683235135
137,16.0,27.0,0.7978723404255319,0.14718806694223963
138,16.0,28.0,0.8085106382978723,0.14707456022283563
139,16.0,29.0,0.8085106382978723,0.1483305176511406
140,17.0,10.0,0.7023809523809523,0.12845774359781414
141,17.0,11.0,0.7674418604651163,0.13921322295713406
142,17.0,12.0,0.7727272727272727,0.14797241943828324
143,17.0,13.0,0.7888888888888889,0.15317251756073452
144,17.0,14.0,0.8,0.1588636798030555
145,17.0,15.0,0.8181818181818182,0.16503119495756363
146,17.0,16.0,0.8111111111111111,0.16053973108927838
147,17.0,17.0,0.8,0.1571640515532122
148,17.0,18.0,0.7888888888888889,0.1564695504150294
149,17.0,19.0,0.8043478260869565,0.15643333075897373
150,17.0,20.0,0.8043478260869565,0.1558157906522123
151,17.0,21.0,0.8043478260869565,0.1530291802086412
152,17.0,22.0,0.7934782608695652,0.1527634681479262
