tradeID,entry_id,sl_id,tp1_id,tp2_id,side,symbol,entry_price,stoploss,tp1,tp2,net_profit,percentage_profit
OMGUSDT06122020_233444,OMGUSDT06122020_233444entry,OMGUSDT06122020_233444stoploss,OMGUSDT06122020_233444tp1,,BUY,OMGUSDT,3.7088,3.6851,3.72729375,,-16.3936240000003,
OMGUSDT06122020_233445,OMGUSDT06122020_233445entry,OMGUSDT06122020_233445stoploss,OMGUSDT06122020_233445tp1,,SELL,OMGUSDT,3.6829,3.7066,3.66453525,,,
LINKUSDT06122020_233621,LINKUSDT06122020_233621entry,LINKUSDT06122020_233621stoploss,LINKUSDT06122020_233621tp1,,BUY,LINKUSDT,13.48,13.35,13.54730955,,11.0004399999998,
LINKUSDT06122020_233623,LINKUSDT06122020_233623entry,LINKUSDT06122020_233623stoploss,LINKUSDT06122020_233623tp1,,SELL,LINKUSDT,13.338,13.4681,13.27149905,,Cancelled,
ALGOUSDT06122020_233630,ALGOUSDT06122020_233630entry,ALGOUSDT06122020_233630stoploss,ALGOUSDT06122020_233630tp1,,BUY,ALGOUSDT,0.3371,0.3342,0.33874529999999997,,-16.8394720000001,
WAVESUSDT07122020_001048,WAVESUSDT07122020_001048entry,WAVESUSDT07122020_001048stoploss,WAVESUSDT07122020_001048tp1,,SELL,WAVESUSDT,8.3999,8.4741,8.35785075,,-6.27655000000004,
ETHUSDT07122020_004217,ETHUSDT07122020_004217entry,ETHUSDT07122020_004217stoploss,ETHUSDT07122020_004217tp1,,BUY,ETHUSDT,604.38,597.98,607.4074275,,Cancelled,
ETHUSDT07122020_004218,ETHUSDT07122020_004218entry,ETHUSDT07122020_004218stoploss,ETHUSDT07122020_004218tp1,,SELL,ETHUSDT,597.14,603.55,594.1587775,,Cancelled,
IOTAUSDT07122020_004231,IOTAUSDT07122020_004231entry,IOTAUSDT07122020_004231stoploss,IOTAUSDT07122020_004231tp1,,BUY,IOTAUSDT,0.3384,0.3354,0.34008195,,-23.2205309999995,
IOTAUSDT07122020_004232,IOTAUSDT07122020_004232entry,IOTAUSDT07122020_004232stoploss,IOTAUSDT07122020_004232tp1,,SELL,IOTAUSDT,0.335,0.33799999999999997,0.33333495,,8.39272000000028,
OMGUSDT07122020_004242,OMGUSDT07122020_004242entry,OMGUSDT07122020_004242stoploss,OMGUSDT07122020_004242tp1,,BUY,OMGUSDT,3.701,3.6775,3.7194648,,14.155885999999999,
OMGUSDT07122020_004243,OMGUSDT07122020_004243entry,OMGUSDT07122020_004243stoploss,OMGUSDT07122020_004243tp1,,SELL,OMGUSDT,3.6744,3.6979,3.6560678,,Cancelled,
ALGOUSDT07122020_004252,ALGOUSDT07122020_004252entry,ALGOUSDT07122020_004252stoploss,ALGOUSDT07122020_004252tp1,,BUY,ALGOUSDT,0.3372,0.3341,0.338891025,,-13.921589,
ALGOUSDT07122020_004253,ALGOUSDT07122020_004253entry,ALGOUSDT07122020_004253stoploss,ALGOUSDT07122020_004253tp1,,SELL,ALGOUSDT,0.3337,0.3368,0.332026525,,Cancelled,
BUYXRPUSDT07122020_093220,BUYXRPUSDT07122020_093220entry,BUYXRPUSDT07122020_093220stoploss,BUYXRPUSDT07122020_093220tp1,,BUY,XRPUSDT,0.6148,0.6085,0.6178760099999999,,,
SELLXRPUSDT07122020_093220,SELLXRPUSDT07122020_093220entry,SELLXRPUSDT07122020_093220stoploss,SELLXRPUSDT07122020_093220tp1,,SELL,XRPUSDT,0.6077,0.61398,0.60463961,,9.868560000000343,
BUYETHUSDT07122020_093455,BUYETHUSDT07122020_093455entry,BUYETHUSDT07122020_093455stoploss,BUYETHUSDT07122020_093455tp1,,BUY,ETHUSDT,597.87,593.03,600.8608575000002,,,
SELLETHUSDT07122020_093456,SELLETHUSDT07122020_093456entry,SELLETHUSDT07122020_093456stoploss,SELLETHUSDT07122020_093456tp1,,SELL,ETHUSDT,592.4,597.24,589.4365075000002,,-11.683860000000095,
BUYIOTAUSDT07122020_093641,BUYIOTAUSDT07122020_093641entry,BUYIOTAUSDT07122020_093641stoploss,BUYIOTAUSDT07122020_093641tp1,,BUY,IOTAUSDT,0.3378,0.3348,0.33947894999999995,,,
SELLIOTAUSDT07122020_093642,SELLIOTAUSDT07122020_093642entry,SELLIOTAUSDT07122020_093642stoploss,SELLIOTAUSDT07122020_093642tp1,,SELL,IOTAUSDT,0.3344,0.3374,0.33273795,,0.011699999999999822,
BUYOMGUSDT07122020_093744,BUYOMGUSDT07122020_093744entry,BUYOMGUSDT07122020_093744stoploss,BUYOMGUSDT07122020_093744tp1,,BUY,OMGUSDT,3.6687,3.6375,3.687008325,,CANCELED,
SELLOMGUSDT07122020_093744,SELLOMGUSDT07122020_093744entry,SELLOMGUSDT07122020_093744stoploss,SELLOMGUSDT07122020_093744tp1,,SELL,OMGUSDT,3.6334,3.6646,3.615267825000001,,15.748329999999894,
SELL_XRPUSDT_07122020_135521,SELL_XRPUSDT_07122020_135521entry,SELL_XRPUSDT_07122020_135521stoploss,SELL_XRPUSDT_07122020_135521tp1,,SELL,XRPUSDT,0.6135,0.61556,0.61044245,,Cancelled,
BUY_XRPUSDT_07122020_135522,BUY_XRPUSDT_07122020_135522entry,BUY_XRPUSDT_07122020_135522stoploss,BUY_XRPUSDT_07122020_135522tp1,,BUY,XRPUSDT,0.6094,0.60737,0.6124670999999999,,,
SELL_ETHUSDT_07122020_141138,SELL_ETHUSDT_07122020_141138entry,SELL_ETHUSDT_07122020_141138stoploss,SELL_ETHUSDT_07122020_141138tp1,,SELL,ETHUSDT,596.85,598.575,593.86575,,Cancelled,
BUY_ETHUSDT_07122020_141141,BUY_ETHUSDT_07122020_141141entry,BUY_ETHUSDT_07122020_141141stoploss,BUY_ETHUSDT_07122020_141141tp1,,BUY,ETHUSDT,593.4,591.675,596.367,,Cancelled,
SELL_ETHUSDT_07122020_141517,SELL_ETHUSDT_07122020_141517entry,SELL_ETHUSDT_07122020_141517stoploss,SELL_ETHUSDT_07122020_141517tp1,,SELL,ETHUSDT,596.85,598.895,593.86575,,Cancelled,
SELL_ETHUSDT_07122020_142320,SELL_ETHUSDT_07122020_142320entry,SELL_ETHUSDT_07122020_142320stoploss,SELL_ETHUSDT_07122020_142320tp1,,SELL,ETHUSDT,596.85,599.275,593.86575,,Cancelled,
BUY_ETHUSDT_07122020_142322,BUY_ETHUSDT_07122020_142322entry,BUY_ETHUSDT_07122020_142322stoploss,BUY_ETHUSDT_07122020_142322tp1,,BUY,ETHUSDT,592.0,589.575,594.9599999999998,,Cancelled,
SELL_ETHUSDT_07122020_142702,SELL_ETHUSDT_07122020_142702entry,SELL_ETHUSDT_07122020_142702stoploss,SELL_ETHUSDT_07122020_142702tp1,,SELL,ETHUSDT,596.85,599.275,593.86575,,,
BUY_ETHUSDT_07122020_152536,BUY_ETHUSDT_07122020_152536entry,BUY_ETHUSDT_07122020_152536stoploss,BUY_ETHUSDT_07122020_152536tp1,,BUY,ETHUSDT,598.43,592.0,601.4206424999999,,,
SELL_ETHUSDT_07122020_152537,SELL_ETHUSDT_07122020_152537entry,SELL_ETHUSDT_07122020_152537stoploss,SELL_ETHUSDT_07122020_152537tp1,,SELL,ETHUSDT,591.16,597.59,588.2056924999998,,9.684220000000096,
SELL_OMGUSDT_07122020_154334,SELL_OMGUSDT_07122020_154334entry,SELL_OMGUSDT_07122020_154334stoploss,SELL_OMGUSDT_07122020_154334tp1,,SELL,OMGUSDT,3.65,3.6675,3.633,,Cancelled,
BUY_OMGUSDT_07122020_154335,BUY_OMGUSDT_07122020_154335entry,BUY_OMGUSDT_07122020_154335stoploss,BUY_OMGUSDT_07122020_154335tp1,,BUY,OMGUSDT,3.615,3.5975,3.633,,Cancelled,
SELL_WAVESUSDT_07122020_231802,SELL_WAVESUSDT_07122020_231802entry,SELL_WAVESUSDT_07122020_231802stoploss,SELL_WAVESUSDT_07122020_231802tp1,,SELL,WAVESUSDT,9.0601,9.10005,9.02,,Cancelled,
BUY_WAVESUSDT_07122020_231804,BUY_WAVESUSDT_07122020_231804entry,BUY_WAVESUSDT_07122020_231804stoploss,BUY_WAVESUSDT_07122020_231804tp1,,BUY,WAVESUSDT,8.9802,8.94025,9.02,,8.294000000000324,
BUY_LTCUSDT_07122020_231906,BUY_LTCUSDT_07122020_231906entry,BUY_LTCUSDT_07122020_231906stoploss,BUY_LTCUSDT_07122020_231906tp1,,BUY,LTCUSDT,83.49,82.81,83.90594250000002,,,
SELL_LTCUSDT_07122020_231908,SELL_LTCUSDT_07122020_231908entry,SELL_LTCUSDT_07122020_231908stoploss,SELL_LTCUSDT_07122020_231908tp1,,SELL,LTCUSDT,82.72,83.4,82.30789250000002,,,
BUY_IOTAUSDT_07122020_232400,BUY_IOTAUSDT_07122020_232400entry,BUY_IOTAUSDT_07122020_232400stoploss,BUY_IOTAUSDT_07122020_232400tp1,,BUY,IOTAUSDT,0.3186,0.316,0.320238225,,,
SELL_IOTAUSDT_07122020_232404,SELL_IOTAUSDT_07122020_232404entry,SELL_IOTAUSDT_07122020_232404stoploss,SELL_IOTAUSDT_07122020_232404tp1,,SELL,IOTAUSDT,0.3157,0.3183,0.314076725,,,
