Date,Unix,Open,High,Low,Close
2016-03-14,1457913600000,15.07,15.07,8.338,10.18
2016-03-21,1458518400000,10.18,12.47,10.14,10.4
2016-03-28,1459123200000,10.4,12.3,10.4,11.75
2016-04-04,1459728000000,11.6,11.67,7.52,8.757
2016-04-11,1460332800000,8.56,10.9,6.855,9.455
2016-04-18,1460937600000,9.302,9.55,7.73,8.097
2016-04-25,1461542400000,8.05,9.36,7.12,8.752
2016-05-02,1462147200000,8.828,10.3,8.789,9.5
2016-05-09,1462752000000,9.51,11.11,9.252,9.966
2016-05-16,1463356800000,10.01,14.89,10.0,14.21
2016-05-23,1463961600000,14.21,14.49,10.38,12.41
2016-05-30,1464566400000,12.44,14.3,12.3,13.95
2016-06-06,1465171200000,14.0,16.09,13.56,15.8
2016-06-13,1465776000000,15.75,21.69,10.13,12.43
2016-06-20,1466380800000,12.33,15.9,10.51,13.75
2016-06-27,1466985600000,13.71,14.19,11.51,11.78
2016-07-04,1467590400000,11.65,11.85,9.353,10.95
2016-07-11,1468195200000,10.95,12.55,10.2,11.24
2016-07-18,1468800000000,11.31,15.15,11.01,12.65
2016-07-25,1469404800000,12.86,13.86,11.3,11.86
2016-08-01,1470009600000,12.0,12.04,9.9,10.16
2016-08-08,1470614400000,10.16,12.33,10.16,11.16
2016-08-15,1471219200000,11.16,11.3,10.61,11.13
2016-08-22,1471824000000,11.2,11.42,10.9,10.94
2016-08-29,1472428800000,10.94,12.6,10.78,11.73
2016-09-05,1473033600000,11.73,12.3,11.26,11.68
2016-09-12,1473638400000,11.8,13.1,11.67,12.32
2016-09-19,1474243200000,12.49,15.4,12.47,13.05
2016-09-26,1474848000000,13.14,13.49,12.81,13.16
2016-10-03,1475452800000,13.22,13.5,11.99,12.01
2016-10-10,1476057600000,12.03,12.33,11.6,11.98
2016-10-17,1476662400000,11.98,12.91,11.81,12.07
2016-10-24,1477267200000,12.07,12.23,9.5,11.28
2016-10-31,1477872000000,11.28,11.5,10.41,10.91
2016-11-07,1478476800000,10.91,11.21,9.68,10.08
2016-11-14,1479081600000,10.08,10.5,9.455,9.571
2016-11-21,1479686400000,9.538,10.26,8.7,8.877
2016-11-28,1480291200000,8.97,9.017,7.1,7.546
2016-12-05,1480896000000,7.405,8.845,5.861,8.19
2016-12-12,1481500800000,8.195,8.626,7.473,7.93
2016-12-19,1482105600000,7.93,7.962,7.109,7.226
2016-12-26,1482710400000,7.11,8.6,7.05,8.204
2017-01-02,1483315200000,8.191,11.7,8.114,10.28
2017-01-09,1483920000000,10.43,10.84,9.082,9.805
2017-01-16,1484524800000,9.72,11.09,9.533,10.64
2017-01-23,1485129600000,10.64,10.83,10.35,10.46
2017-01-30,1485734400000,10.44,11.4,10.38,11.18
2017-02-06,1486339200000,11.18,11.6,10.41,11.26
2017-02-13,1486944000000,11.33,13.4,11.05,12.8
2017-02-20,1487548800000,12.8,14.66,12.25,14.57
2017-02-27,1488153600000,14.57,20.73,14.3,19.35
2017-03-06,1488758400000,19.35,23.23,16.25,23.2
2017-03-13,1489363200000,23.2,51.88,23.2,43.17
2017-03-20,1489968000000,43.17,58.99,38.51,50.46
2017-03-27,1490572800000,50.46,54.3,46.82,48.6
2017-04-03,1491177600000,48.6,48.6,41.05,43.94
2017-04-10,1491782400000,43.94,51.51,43.01,49.58
2017-04-17,1492387200000,49.58,54.44,45.0,53.33
2017-04-24,1492992000000,53.33,84.0,53.0,83.51
2017-05-01,1493596800000,83.51,101.7,66.0,94.21
2017-05-08,1494201600000,94.21,95.48,77.76,90.37
2017-05-15,1494806400000,90.37,146.4,83.77,146.14
2017-05-22,1495411200000,146.14,206.06,110.42,161.91
2017-05-29,1496016000000,161.91,245.98,155.01,241.06
2017-06-05,1496620800000,241.06,347.0,231.72,336.33
2017-06-12,1497225600000,336.33,412.21,265.0,348.88
2017-06-19,1497830400000,348.88,366.52,253.2,277.0
2017-06-26,1498435200000,277.0,318.27,204.11,277.64
2017-07-03,1499040000000,277.64,283.98,226.68,234.97
2017-07-10,1499644800000,234.97,238.01,136.12,157.4
2017-07-17,1500249600000,157.4,258.0,155.0,228.15
2017-07-24,1500854400000,228.15,232.56,176.95,195.31
2017-07-31,1501459200000,195.31,271.5,188.12,264.29
2017-08-07,1502064000000,264.29,319.78,257.32,296.64
2017-08-14,1502668800000,296.64,312.0,272.29,298.37
2017-08-21,1503273600000,298.37,348.01,285.01,348.01
2017-08-28,1503878400000,348.01,395.03,325.1,350.63
2017-09-04,1504483200000,350.63,351.59,267.64,297.9
2017-09-11,1505088000000,297.9,316.73,198.0,257.0
2017-09-18,1505692800000,257.0,299.89,251.52,282.0
2017-09-25,1506297600000,282.0,315.51,280.5,304.26
2017-10-02,1506902400000,304.26,315.0,285.12,309.82
2017-10-09,1507507200000,309.82,350.0,287.03,337.23
2017-10-16,1508112000000,337.23,355.0,287.46,293.55
2017-10-23,1508716800000,293.55,312.49,273.5,304.39
2017-10-30,1509321600000,304.39,314.4,275.21,295.63
2017-11-06,1509926400000,295.63,328.8,285.01,303.9
2017-11-13,1510531200000,303.9,371.0,302.4,354.7
2017-11-20,1511136000000,354.7,481.99,350.0,464.0
